,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
24,13435,13412,12845,,,,,vrM29yBKH0i9ZSg07N2qnA,601,,,,,CONCRETE,LAB CONCRETE,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
25,13436,13412,12845,,,,,5F29ct+sLEGK1wNuyg1/SQ,4511,,,,,SERVICE LIFTS,LAB OTIS,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
26,13437,13412,12845,,,,,hUdIwQRBdE+L1WAEdAihjQ,4201,,,,,STRUCTURAL STEEL,LAB STEEL,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
27,13438,13412,12845,,,,,OKAZ7C9KlU2OIaFjJbRDTw,4501,,,,,THERMAL & MOISTURE,LAB THERMAL,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
28,13439,13412,12845,,,,,NJPfb67ZR0KBOjfvmPJc6w,501,,,,,CEMENTITIOUS FIREPROOFING,LAB CEM FIRE,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
29,13440,13413,12845,,,,,rg+PxKDtA0qLxAkHWalpKg,401,,,,,ALL DOOR TYPES,QTY DOOR ALL,,1,QT_Hour,,Y,Y,Y,N,1,1813,RT_Mat,,,,,
30,13441,13412,12845,,,,,lMyPDhOpXEa6IvDZlrUyyA,101,,,,,CEILING FINISHES,LAB CEILING ALL,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
31,13442,13413,12845,,,,,1x+elUmIK0CaZEjaDuhxDg,2,,,,,ANTI-TERMITE,QTY ANTI-TER,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
32,13443,13412,12845,,,,,xQJfTuxR40mZzuxIRk+FEw,4301,,,,,SECONDARY STEEL,LAB STEEL.2ND,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
33,13444,13413,12845,,,,,B+BCDMjd9Uu0vNBXVj06rw,3101,,,,,FLOOR FINISHES,QTY FLOOR ALL,,1,QT_Hour,,Y,Y,Y,N,1,414,RT_Mat,,,,,
34,13445,13413,12845,,,,,yRNGLLRtd061fRFwvA6QWg,4101,,,,,THERMAL & MOISTURE,QTY THERMAL,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
35,13446,13412,12845,,,,,R3QUlwqce0Ksnm4CxvSXqw,3801,,,,,LANDSCAPING,LAB LANDSCAPE,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
36,13447,13412,12845,,,,,B6bS/qYzGke0qPlpPHynvQ,3701,,,,,IRONMONGERY,LAB IRONMONGERY,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
37,13448,13413,12845,,,,,rbZaYFgu/kyEeRVTMjPcbg,4201,,,,,WALL FINISHES,QTY WALL ALL,,1,QT_Hour,,Y,Y,Y,N,1,414,RT_Mat,,,,,
38,13449,13412,12845,,,,,DrQ/J7JgNk2OLnaSSJubHQ,4001,,,,,PARTITIONS,LAB PARTITION,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
39,13450,13413,12845,,,,,Oj42ASXZFkioweRQJPB0Uw,3,,,,,CEILING FINISHES,QTY CEILING,,1,QT_Hour,,Y,Y,Y,N,1,414,RT_Mat,,,,,
40,13451,13412,12845,,,,,mfOzRIXA10aaeY4JiNuU0A,701,,,,,ALL DOOR TYPES,LAB DOOR ALL,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
